Start_Date,Start_Time,End_Date,End_Time,Title,Description,Location,Location_URL,Location_Details,All_Day_Event,Event_Type,Tags,Team1_ID,Team1_Division_ID,Team1_Is_Home,Team2_ID,Team2_Division_ID,Team2_Name,Custom_Opponent,Event_ID,Game_ID,Affects_Standings,Points_Win,Points_Loss,Points_Tie,Points_OT_Win,Points_OT_Loss,Division_Override
4/20/22,17:30,4/20/22,19:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10CGFS2,,,,,,,,,,,,
4/23/22,22:00,4/24/22,0:00,,,"Ocala 4",,"2800 Ocala Ave  San Jose, CA",,Game,,10CGFS3,,0,10CGFS3,,CGFS3,TRUE,,,,,,,,,
4/23/22,23:00,4/24/22,1:00,,,"Foothill Main",,"13919 Lynde Ave, Saratoga, CA 95070",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
4/23/22,15:15,4/23/22,17:15,,,"Bagby Elementary, Field 1",,"1840 Harris Avenue San Jose 95124",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
4/27/22,17:30,4/27/22,19:30,,,"Bret Harte #6 ((field closet to Via Valiente))",,"Bret Harte Middle School  - 7050 Bret Harte Drive, San Jose CA",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
4/27/22,17:30,4/27/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10CGFS3,,,,,,,,,,,,
4/30/22,23:30,5/1/22,1:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS1,,1,10CGFS2,,,,,,,,,,,,
4/30/22,23:30,5/1/22,1:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10BHGS2,,BHGS2,TRUE,,,,,,,,,
5/4/22,17:30,5/4/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS3,,1,10CGFS1,,,,,,,,,,,,
5/4/22,17:30,5/4/22,19:30,,,"Vista Park Field 1",,"473 Hyde Park Dr., San Jose, CA",,Game,,10CGFS2,,0,10CGFS2,,CGFS2,TRUE,,,,,,,,,
5/7/22,23:30,5/8/22,1:30,,,"Shannon  (Fields adjacent to Forest Hill Elementary School in Campbell (Back Field) /Nelson(Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10CGFS3,,,,,,,,,,,,
5/7/22,23:00,5/8/22,1:00,,,"Central Park Field 1 (Saturdays Only - We scheduled our internal games on weeknights so Saturdays can strictly be interleague.  We can't host on Saturday, March 26 and Saturday, April 2 due to a high school tournament being hosted on our fields)",,"2625 Patricia Drive\nSanta Clara, CA 95051",,Game,,10CGFS1,,0,10CGFS1,,CGFS1,TRUE,,,,,,,,,
5/11/22,17:30,5/11/22,19:30,,,"Nelson (Fields adjacent to Forest Hill Elementary School in Campbell  (Next to parking lot))",,"4450 McCoy Ave, San Jose, CA 95130",,Game,,10CGFS2,,1,10CGFS1,,,,,,,,,,,,
